key,value,abatement,abatement_eau_value_low_slope,abatement_eau_value_medium_slope,abatement_eau_value_high_slope,abatement_mes_value_low_slope,abatement_mes_value_medium_slope,abatement_mes_value_high_slope,abatement_phyto_value_low_slope,abatement_phyto_value_medium_slope,abatement_phyto_value_high_slope,production,eau_production_value_practice1_low_slope,eau_production_value_practice1_medium_slope,eau_production_value_practice1_high_slope,eau_production_value_practice2_low_slope,eau_production_value_practice2_medium_slope,eau_production_value_practice2_high_slope,eau_production_value_practice3_low_slope,eau_production_value_practice3_medium_slope,eau_production_value_practice3_high_slope,mes_production_value_practice1_low_slope,mes_production_value_practice1_medium_slope,mes_production_value_practice1_high_slope,mes_production_value_practice2_low_slope,mes_production_value_practice2_medium_slope,mes_production_value_practice2_high_slope,mes_production_value_practice3_low_slope,mes_production_value_practice3_medium_slope,mes_production_value_practice3_high_slope,phyto_production_value_practice1_low_slope,phyto_production_value_practice1_medium_slope,phyto_production_value_practice1_high_slope,phyto_production_value_practice2_low_slope,phyto_production_value_practice2_medium_slope,phyto_production_value_practice2_high_slope,phyto_production_value_practice3_low_slope,phyto_production_value_practice3_medium_slope,phyto_production_value_practice3_high_slope
vigne,100,False,0,0,0,0,0,0,0,0,0,True,0.7,0.9,0.9,0.7,0.9,0.9,0.7,0.9,0.9,0.0530,0.1333,0.2699,0.1328,0.3320,0.6667,0.0530,0.1333,0.2699,0.6,0.8,0.8,0.35,0.5,0.5,0.1,0.15,0.15
vigne_enherbée_1_rang,101,False,0,0,0,0,0,0,0,0,0,True,0.5,0.7,0.7,0.5,0.7,0.7,0.5,0.7,0.7,0.0133,0.0331,0.0669,0.0415,0.1036,0.2073,0.0133,0.0331,0.0669,0.4,0.6,0.6,0.2,0.35,0.35,0,0.1,0.1
vigne_enherbée_tous_rangs,102,False,0,0,0,0,0,0,0,0,0,True,0.5,0.7,0.7,0.5,0.7,0.7,0.5,0.7,0.7,0.0045,0.0110,0.0207,0.0133,0.0332,0.0670,0.0045,0.0110,0.0207,0.4,0.6,0.6,0.2,0.35,0.35,0,0.1,0.1
vigne_avec_rases,110,False,0,0,0,0,0,0,0,0,0,True,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0318,0.0800,0.1620,0.0797,0.1992,0.4000,0.0318,0.0800,0.1620,0.8,0.8,1,0.5,0.5,0.6,0.15,0.15,0.2
vigne_enherbée_1_rang_avec_rases,111,False,0,0,0,0,0,0,0,0,0,True,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0080,0.0199,0.0402,0.0249,0.0621,0.1244,0.0080,0.0199,0.0402,0.6,0.6,1,0.35,0.35,0.6,0.1,0.1,0.2
vigne_enherbée_tous_rang_avec_rases,112,False,0,0,0,0,0,0,0,0,0,True,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0027,0.0066,0.0124,0.0080,0.0199,0.0402,0.0027,0.0066,0.0124,0.6,0.6,1,0.35,0.35,0.6,0.1,0.1,0.2
verger,200,True,70,70,70,90,90,90,80,80,80,True,0,0,0,0,0,0,0,0,0,0.0157,0.0386,0.0773,0.0472,0.1176,0.2380,0.0157,0.0386,0.0773,0,0,0,0,0,0,0,0,0
prairie,300,True,70,70,70,90,90,90,80,80,80,True,0,0,0,0,0,0,0,0,0,0.0157,0.0386,0.0773,0.0472,0.1176,0.2380,0.0157,0.0386,0.0773,0,0,0,0,0,0,0,0,0
friche,400,True,70,60,50,90,80,70,80,70,60,True,0,0,0,0,0,0,0,0,0,0.0098,0.0228,0.0451,0.0259,0.0658,0.1320,0.0098,0.0228,0.0451,0,0,0,0,0,0,0,0,0
bois,500,True,70,70,70,90,90,90,80,80,80,True,0,0,0,0,0,0,0,0,0,0.0157,0.0386,0.0773,0.0472,0.1176,0.2380,0.0157,0.0386,0.0773,0,0,0,0,0,0,0,0,0
habitation,700,False,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
