key,value,abatement_long,abatement_long_eau_value,abatement_long_mes_value,abatement_long_phyto_value,abatement_lat,abatement_lat_eau_value,abatement_lat_mes_value,abatement_lat_phyto_value
haie,100,True,0.2,0.3,0.3,True,0.7,0.9,0.8
ripisylve,200,True,0.2,0.3,0.3,True,0.7,0.9,0.8
fosse_nu_ou_betonne,310,True,0,0,0,False,0,0,0
fosse_vegetalise,320,True,0.2,0.3,0.3,False,0,0,0
chemin_enherbe,410,True,0.1,0.2,0.2,True,0.40,0.50,0.45
chemin_nu,420,True,0.05,0.1,0.1,True,0,0,0
route,500,True,0,0,0,False,0,0,0
muret,600,True,0.05,0.1,0.1,True,0.7,0.9,0.8
riviere,700,False,0,0,0,False,0,0,0
bande_enherbee,800,False,0,0,0,True,0.7,0.9,0.8
sans_element_paysager,0,False,0,0,0,False,0,0,0
