key,value,season,abatement_long,abatement_long_eau_value,abatement_long_mes_value,abatement_long_phyto_value,abatement_lat,abatement_lat_eau_value,abatement_lat_mes_value,abatement_lat_phyto_value
haie,100,summer,True,0.1,0.15,0.1,True,0.35,0.45,0.2
haie double,110,summer,TRUE,0.1,0.1,0.15,TRUE,0.35,0.45,0.35
ripisylve,200,summer,True,0.025,0.05,0.05,True,0.3,0.4,0.3
drain,300,summer,True,0,0,0,False,0,0,0
fossé_nu_ou_bétonné,310,summer,True,0.025,0.05,0.05,False,0,0,0
fossé_végétalisé,320,summer,True,0.1,0.15,0.15,False,0.2,0.25,0
chemin_enherbé,410,summer,True,0.05,0.1,0.1,True,0.2,0.25,0.15
chemin_nu,420,summer,True,0.025,0.05,0.05,True,0,0,0
route,500,summer,True,0,0,0,False,0,0,0
haie,100,winter,True,0.2,0.3,0.2,True,0.7,0.9,0.4
haie double,110,winter,TRUE,0.2,0.2,0.3,TRUE,0.7,0.9,0.7
ripisylve,200,winter,True,0.05,0.1,0.1,True,0.6,0.8,0.6
drain,300,winter,True,0,0,0,False,0,0,0
fossé_nu_ou_bétonné,310,winter,True,0.05,0.1,0.1,False,0,0,0
fossé_végétalisé,320,winter,True,0.2,0.3,0.3,False,0.4,0.5,0
chemin_enherbé,410,winter,True,0.1,0.2,0.2,True,0.4,0.5,0.3
chemin_nu,420,winter,True,0.05,0.1,0.1,True,0,0,0
route,500,winter,True,0,0,0,False,0,0,0
cours d’eau,700,None,FALSE,0,0,0,FALSE,0,0,0
bande_enherbée,800,summer,False,0,0,0,True,0.7,0.9,0.8
bande_enherbée,800,winter,False,0,0,0,True,0.7,0.9,0.8
sans_élément_paysager,0,None,False,0,0,0,False,0,0,0
