fid;gm_id;gm_length;UH_up;UH_dwn;UH_side;UH_within;alti_up;alti_dwn;TE_up;TE_dwn;gm_angle;gm_ordre;gm_ordre_l;type_mid;pente;up_side;type_left;type_right;gm_d_actif;gm_out_p;dir_river;gm_angle_u;gm_angle_d;type_cen;type_amo;type_ava;gm_ent;gm_ent_l;gm_ent_p;gm_sort;sort_lo;sort_la;gm_sort_p;gm_abatt;indice_a;indice_e;sort_lo_up;sort_lo_dw;hist_water;hist_mes;hist_phyto;hist_a_wat;hist_a_mes;hist_a_phy;h_a_lo_wat;h_a_lo_mes;h_a_lo_phy;gm_exut;type_cen_0;type_amo_0;type_ava_0;gm_ent_0;gm_ent_l_0;gm_ent_p_0;gm_sort_0;sort_lo_0;sort_la_0;gm_abatt_0;gm_exut_0;indice_a_0;indice_e_0;hist;hist_abat;hist_ab_la;h_a_la_wat;h_a_la_mes;h_a_la_phy;hist_ab_lo;hist_long;hist_lo_up;hist_lo_dw;hi_lo_ab_u;hi_lo_ab_d;type_cen_1;type_amo_1;type_ava_1;gm_ent_1;gm_ent_l_1;gm_ent_p_1;gm_sort_1;sort_lo_1;sort_la_1;gm_abatt_1;gm_exut_1;indice_a_1;indice_e_1
1;1;97.36626088004941;179;175;NULL;NULL;779.554;776.8899;2;7, 6;0.20620418539663;544;408;0;2.736163406009815;left;0;0;0;175;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
2;2;272.7745597476473;NULL;NULL;179;NULL;782.9969;779.554;10;3, 1;0.0;541;406;0;1.2621778230290788;right;0;0;0;175;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
3;3;75.44664742450288;NULL;NULL;175;NULL;779.554;752.9166;2;5;0.0;823;613;0;35.306273915822665;left;0;0;0;171;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
4;4;152.4559608632112;175;171;NULL;NULL;756.7961;752.9166;20;5;0.990292343947221;831;619;0;2.54466927894071;right;0;0;0;171;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
5;5;51.28801753673038;NULL;NULL;171;NULL;752.9166;743.1011;3, 4;9;0.0;948;705;0;19.137998447630743;left;0;0;0;181;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
6;6;102.9334646593639;179;174;NULL;NULL;776.8899;776.2616;1;22;0.325238086383454;545;409;0;0.6103942989572835;left;0;0;0;174;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
7;7;132.197301453067;175;174;NULL;NULL;776.8899;758.569;1;20;0.861008442465127;826;615;0;13.858754905450457;right;0;0;0;275;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
8;8;160.31187570570236;171;181;NULL;NULL;748.2933;743.1011;21;9;0.999554667158883;951;707;0;3.23881183296228;right;0;0;0;181;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
9;9;75.63589014934165;NULL;NULL;181;NULL;743.1011;733.3191;5, 8;16, 15;0.0;1010;748;0;12.933013653551969;left;0;0;0;180;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
10;10;161.90722096268115;NULL;NULL;178;NULL;799.5573;782.9969;23;2, 11;0.0;532;400;0;10.228327002053335;left;0;0;0;174;NULL;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;NULL;0.0;999;99;0.0;0.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;999;99
